作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
"059898","ウェストミンスター寺院","ウェストミンスターじいん","うえすとみんすたあしいん","","","","","NDC 933","新字新仮名","なし",2020-04-03,2020-03-28,"https://www.aozora.gr.jp/cards/001257/card59898.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","えにしだ","砂場清隆","https://www.aozora.gr.jp/cards/001257/files/59898_ruby_70679.zip","2020-03-28","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/59898_70731.html","2020-03-28","ShiftJIS","JIS X 0208","0"
"056078","駅伝馬車","えきでんばしゃ","えきてんはしや","","","","","NDC 933","旧字旧仮名","なし",2013-09-20,2014-09-16,"https://www.aozora.gr.jp/cards/001257/card56078.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","岩波文庫、岩波書店","1935（昭和10）年9月15日","2010（平成22）年2月23日第31刷","1992（平成4）年2月26日第30刷","","","","","","","","","","","","雀","小林繁雄","https://www.aozora.gr.jp/cards/001257/files/56078_ruby_51155.zip","2013-09-03","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/56078_51422.html","2013-09-03","ShiftJIS","JIS X 0208","0"
"060224","駅馬車","えきばしゃ","えきはしや","","","","","NDC 933","新字新仮名","なし",2021-05-18,2021-04-27,"https://www.aozora.gr.jp/cards/001257/card60224.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60224_ruby_73172.zip","2021-04-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60224_73212.html","2021-04-27","ShiftJIS","JIS X 0208","0"
"060225","寡婦とその子","かふとそのこ","かふとそのこ","","","","","NDC 933","新字新仮名","なし",2021-10-16,2021-09-27,"https://www.aozora.gr.jp/cards/001257/card60225.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60225_ruby_74180.zip","2021-09-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60225_74217.html","2021-09-27","ShiftJIS","JIS X 0208","0"
"060231","クリスマス","クリスマス","くりすます","","","","","NDC 933","新字新仮名","なし",2021-12-25,2021-11-27,"https://www.aozora.gr.jp/cards/001257/card60231.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60231_ruby_74588.zip","2021-11-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60231_74625.html","2021-11-27","ShiftJIS","JIS X 0208","0"
"060232","クリスマス・イーヴ","クリスマス・イーヴ","くりすますいいう","","","","","NDC 933","新字新仮名","なし",2021-12-24,2021-11-27,"https://www.aozora.gr.jp/cards/001257/card60232.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60232_ruby_74587.zip","2021-11-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60232_74624.html","2021-11-27","ShiftJIS","JIS X 0208","0"
"056033","クリスマス・イーヴ","クリスマス・イーヴ","くりすますいいう","","","","","NDC 933","旧字旧仮名","なし",2013-08-08,2014-09-16,"https://www.aozora.gr.jp/cards/001257/card56033.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","岩波文庫、岩波書店","1935（昭和10）年9月15日","2010（平成22）年2月23日第31刷","1937（昭和12）年5月30日第18刷","","","","","","","","","","","","雀","小林繁雄","https://www.aozora.gr.jp/cards/001257/files/56033_ruby_50649.zip","2013-07-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/56033_50983.html","2013-07-01","ShiftJIS","JIS X 0208","0"
"060226","傷心","しょうしん","しようしん","","","","","NDC 933","新字新仮名","なし",2022-01-08,2021-12-27,"https://www.aozora.gr.jp/cards/001257/card60226.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60226_ruby_74760.zip","2021-12-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60226_74794.html","2021-12-27","ShiftJIS","JIS X 0208","0"
"060233","ジョン・ブル","ジョン・ブル","しよんふる","","","","","NDC 933","新字新仮名","なし",2021-11-28,2021-10-27,"https://www.aozora.gr.jp/cards/001257/card60233.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60233_ruby_74396.zip","2021-10-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60233_74434.html","2021-10-27","ShiftJIS","JIS X 0208","0"
"060357","新浦島","しんうらしま","しんうらしま","","","RIP VAN WINKLE. EINE NACHGELASSENE SCHRIFT VON DIETRICH KNICKERBOCKER.","「少年園　第二巻　第十三号」1889（明治22）年5月3日<br>「少年園　第二巻　第十四号」1889（明治22）年5月18日<br>「少年園　第二巻　第十五号」1889（明治22）年6月3日<br>「少年園　第二巻　第十六号」1889（明治22）年6月18日<br>「少年園　第二巻　第十七号」1889（明治22）年7月3日<br>「少年園　第二巻　第十八号」1889（明治22）年7月18日<br>「少年園　第二巻　第二十号」1889（明治22）年8月18日","NDC K933","新字旧仮名","なし",2022-07-09,2022-06-26,"https://www.aozora.gr.jp/cards/001257/card60357.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","鴎外選集　第16巻","岩波書店","1980（昭和55）年2月22日","1980（昭和55）年6月30日第2刷","1980（昭和55）年2月22日第1刷","","","","","","","","","","","","砂場清隆","岡村和彦","https://www.aozora.gr.jp/cards/001257/files/60357_ruby_75861.zip","2022-06-26","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60357_75896.html","2022-06-26","ShiftJIS","JIS X 0208","0"
"046658","スリーピー・ホローの伝説","スリーピー・ホローのでんせつ","すりいひいほろおのてんせつ","故ディードリッヒ・ニッカボッカーの遺稿より","こディードリッヒ・ニッカボッカーのいこうより","THE LEGEND OF SLEEPY HOLLOW","","NDC 933","新字新仮名","なし",2011-12-31,2014-09-16,"https://www.aozora.gr.jp/cards/001257/card46658.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年 2月20日33刷改版","","","","","","","","","","","","鈴木厚司","砂場清隆","https://www.aozora.gr.jp/cards/001257/files/46658_ruby_44679.zip","2011-08-30","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/46658_44767.html","2011-08-30","ShiftJIS","JIS X 0208","0"
"060227","妻","つま","つま","","","","","NDC 933","新字新仮名","なし",2022-04-03,2022-03-27,"https://www.aozora.gr.jp/cards/001257/card60227.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60227_ruby_75260.zip","2022-03-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60227_75292.html","2022-03-27","ShiftJIS","JIS X 0208","0"
"060228","船旅","ふなたび","ふなたひ","","","","","NDC 933","新字新仮名","なし",2022-04-03,2022-03-27,"https://www.aozora.gr.jp/cards/001257/card60228.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60228_ruby_75259.zip","2022-03-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60228_75291.html","2022-03-27","ShiftJIS","JIS X 0208","0"
"060229","幽霊花婿","ゆうれいはなむこ","ゆうれいはなむこ","ある旅人の話","あるたびびとのはなし","","","NDC 933","新字新仮名","なし",2021-04-03,2021-03-27,"https://www.aozora.gr.jp/cards/001257/card60229.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60229_ruby_72965.zip","2021-03-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60229_73012.html","2021-03-27","ShiftJIS","JIS X 0208","0"
"053680","リップ・ヴァン・ウィンクル","リップ・ヴァン・ウィンクル","りつふうあんういんくる","ディードリッヒ・ニッカボッカーの遺稿","ディードリッヒ・ニッカボッカーのいこう","","","NDC 933","新字新仮名","なし",2019-11-28,2020-03-19,"https://www.aozora.gr.jp/cards/001257/card53680.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","えにしだ","https://www.aozora.gr.jp/cards/001257/files/53680_ruby_69540.zip","2020-03-19","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001257/files/53680_69591.html","2020-03-19","ShiftJIS","JIS X 0208","1"
"060230","わたくし自身について","わたくしじしんについて","わたくしししんについて","","","","","NDC 933","新字新仮名","なし",2021-04-03,2021-03-27,"https://www.aozora.gr.jp/cards/001257/card60230.html","001257","アーヴィング","ワシントン","アーヴィング","ワシントン","ああういんく","わしんとん","Irving","Washington","著者","1783-04-03","1859-11-28","なし","スケッチ・ブック","新潮文庫、新潮社","1957（昭和32）年5月20日","2000（平成12）年2月20日33刷改版","2000（平成12）年2月20日33刷改版","","","","","","","","","","","","砂場清隆","noriko saito","https://www.aozora.gr.jp/cards/001257/files/60230_ruby_72966.zip","2021-03-27","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001257/files/60230_73013.html","2021-03-27","ShiftJIS","JIS X 0208","0"
"054333","食品の混ぜ物処理および調理の毒物（1820）","しょくひんのまぜものしょりおよびちょうりのどくぶつ（せんはっぴゃくにじゅう）","しよくひんのませものしよりおよひちようりのとくふつせんはつひやくにしゆう","","","A TREATISE ON ADULTERATIONS OF FOOD, AND CULINARY POISONS (1820)","","NDC 588","新字新仮名","あり",2011-11-21,2019-03-11,"https://www.aozora.gr.jp/cards/001657/card54333.html","001657","アークム","フレデリック","アークム","フレデリック","ああくむ","ふれてりつく","Accum","Friedrich","著者","1769-03-29","1838-06-28","なし","","","","","","","","","","","","","","","","","","Juki","https://www.aozora.gr.jp/cards/001657/files/54333_ruby_67471.zip","2019-03-05","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001657/files/54333_67472.html","2019-03-05","ShiftJIS","JIS X 0208","0"
"046340","ファラデーの伝","ファラデーのでん","ふあらてえのてん","電気学の泰斗","でんきがくのたいと","","","NDC 289","新字新仮名","なし",2006-12-24,2015-04-05,"https://www.aozora.gr.jp/cards/001234/card46340.html","001234","愛知","敬一","あいち","けいいち","あいち","けいいち","Aichi","Keiichi","著者","1880-07-25","1923-06-23","なし","ファラデーの傳","岩波書店","1923（大正12）年5月15日","1923（大正12）年5月15日第1版","1923（大正12）年5月15日第1版","","","","","","","","","","","","松本吉彦、松本庄八","小林繁雄","https://www.aozora.gr.jp/cards/001234/files/46340_ruby_24806.zip","2015-04-05","ShiftJIS","JIS X 0208","4","https://www.aozora.gr.jp/cards/001234/files/46340_24939.html","2015-04-05","ShiftJIS","JIS X 0208","4"
"046511","一片の石","いっぺんのいし","いつへんのいし","","","","","NDC 914","新字旧仮名","なし",2007-01-03,2014-09-18,"https://www.aozora.gr.jp/cards/001245/card46511.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","日本の名随筆88　石","作品社","1990（平成2）年2月25日","1996（平成8）年8月25日第5刷","","續　渾霽随筆","中公文庫、中央公論社","1980（昭和55）年1月","","","","","","","","","門田裕志","仙酔ゑびす","https://www.aozora.gr.jp/cards/001245/files/46511_ruby_25555.zip","2007-01-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/46511_25607.html","2007-01-01","ShiftJIS","JIS X 0208","0"
"057975","音楽に就いて","おんがくについて","おんかくについて","","","","「興風」1922（大正11）年2月","NDC 914","旧字旧仮名","なし",2017-11-21,2017-10-25,"https://www.aozora.gr.jp/cards/001245/card57975.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","會津八一全集","中央公論社","1969（昭和44）年","","","","","","","","","フクポー","鴨川佳一郎","https://www.aozora.gr.jp/cards/001245/files/57975_txt_63036.zip","2017-10-25","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/57975_63084.html","2017-10-25","ShiftJIS","JIS X 0208","0"
"057976","学規","がくき","かくき","","","","","NDC 914","旧字旧仮名","なし",2017-07-01,2017-06-25,"https://www.aozora.gr.jp/cards/001245/card57976.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月初版","","","","","","","","","","","","フクポー","鴨川佳一郎","https://www.aozora.gr.jp/cards/001245/files/57976_txt_61953.zip","2017-06-13","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/57976_61955.html","2017-06-13","ShiftJIS","JIS X 0208","0"
"046512","菊の根分をしながら","きくのねわけをしながら","きくのねわけをしなから","","","","","NDC 914","新字旧仮名","なし",2007-01-03,2014-09-18,"https://www.aozora.gr.jp/cards/001245/card46512.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","花の名随筆3　三月の花","作品社","1999（平成11）年2月10日","1999（平成11）年2月10日初版第1刷","","會津八一全集　第七巻","中央公論社","1982（昭和57）年4月","","","","","","","","","門田裕志","仙酔ゑびす","https://www.aozora.gr.jp/cards/001245/files/46512_ruby_25556.zip","2007-01-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/46512_25608.html","2007-01-01","ShiftJIS","JIS X 0208","0"
"046513","支那の明器","しなのめいき","しなのめいき","","","","","NDC 756 914","新字旧仮名","なし",2007-01-03,2014-09-18,"https://www.aozora.gr.jp/cards/001245/card46513.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","日本の名随筆　別巻9　骨董","作品社","1991（平成3）年11月25日","1999（平成11）年8月25日第6刷","","會津八一全集　第七巻","中央公論社","1982（昭和57）年4月","","","","","","","","","門田裕志","仙酔ゑびす","https://www.aozora.gr.jp/cards/001245/files/46513_txt_25557.zip","2007-01-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/46513_25609.html","2007-01-01","ShiftJIS","JIS X 0208","0"
"057977","趣味の向上","しゅみのこうじょう","しゆみのこうしよう","――青年学生のために――","――せいねんがくせいのために――","","「興風」1924（大正13）年12月","NDC 914","旧字旧仮名","なし",2017-11-21,2017-10-25,"https://www.aozora.gr.jp/cards/001245/card57977.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","會津八一全集","中央公論社","1969（昭和44）年","","","","","","","","","フクポー","鴨川佳一郎","https://www.aozora.gr.jp/cards/001245/files/57977_txt_63037.zip","2017-10-25","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/57977_63085.html","2017-10-25","ShiftJIS","JIS X 0208","0"
"058663","趣味の修養","しゅみのしゅうよう","しゆみのしゆうよう","","","","「興風」1922（大正11）年8月","NDC 914","旧字旧仮名","なし",2018-11-21,2018-10-24,"https://www.aozora.gr.jp/cards/001245/card58663.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","","","","","","","","","","","","フクポー","杉浦鳥見","https://www.aozora.gr.jp/cards/001245/files/58663_txt_66288.zip","2018-10-24","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/58663_66335.html","2018-10-24","ShiftJIS","JIS X 0208","0"
"057978","少年少女におくる言葉","しょうねんしょうじょにおくることば","しようねんしようしよにおくることは","","","","「少年少女新潟日報」1952（昭和27）年1月13日","NDC K914","旧字旧仮名","なし",2017-07-01,2017-06-25,"https://www.aozora.gr.jp/cards/001245/card57978.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","會津八一全集　第六卷","中央公論社","1968（昭和43）年","","","","","","","","","フクポー","鴨川佳一郎","https://www.aozora.gr.jp/cards/001245/files/57978_txt_61951.zip","2017-06-13","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/57978_61952.html","2017-06-13","ShiftJIS","JIS X 0208","0"
"058664","綜合大学の図書","そうごうだいがくのとしょ","そうこうたいかくのとしよ","","","","「夕刊ニイガタ」1948（昭和23）年5月25日","NDC 914","旧字旧仮名","なし",2019-08-01,2019-07-30,"https://www.aozora.gr.jp/cards/001245/card58664.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","","","","","","","","","","","","フクポー","杉浦鳥見","https://www.aozora.gr.jp/cards/001245/files/58664_txt_68691.zip","2019-07-30","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/58664_68740.html","2019-07-30","ShiftJIS","JIS X 0208","0"
"058665","綜合大学を迎へて","そうごうだいがくをむかえて","そうこうたいかくをむかえて","","","","「夕刊ニイガタ」1948（昭和23）年5月9日","NDC 377 914","旧字旧仮名","なし",2019-11-21,2019-11-01,"https://www.aozora.gr.jp/cards/001245/card58665.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","","","","","","","","","","","","フクポー","杉浦鳥見","https://www.aozora.gr.jp/cards/001245/files/58665_txt_69529.zip","2019-11-01","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/58665_69580.html","2019-11-01","ShiftJIS","JIS X 0208","0"
"058666","大学とその総長","だいがくとそのそうちょう","たいかくとそのそうちよう","","","","「夕刊ニイガタ」1948（昭和23）年5月15日","NDC 377 914","旧字旧仮名","なし",2019-11-21,2019-10-28,"https://www.aozora.gr.jp/cards/001245/card58666.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","會津八一全集　第七卷","中央公論社","1982（昭和57）年4月25日","1982（昭和57）年4月25日初版","1982（昭和57）年4月25日初版","","","","","","","","","","","","フクポー","杉浦鳥見","https://www.aozora.gr.jp/cards/001245/files/58666_txt_69528.zip","2019-10-28","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/001245/files/58666_69579.html","2019-10-28","ShiftJIS","JIS X 0208","0"
"046514","拓本の話","たくほんのはなし","たくほんのはなし","","","","","NDC 728 914","旧字旧仮名","なし",2007-01-01,2014-09-18,"https://www.aozora.gr.jp/cards/001245/card46514.html","001245","会津","八一","あいづ","やいち","あいつ","やいち","Aizu","Yaichi","著者","1881-08-01","1956-11-21","なし","日本の名随筆27　墨","作品社","1985（昭和60）年1月25日","1997（平成9）年5月20日第17刷","","會津八一全集　第一一巻","中央公論社","1982（昭和57）年10月","","","","","","","","","門田裕志","仙酔ゑびす","https://www.aozora.gr.jp/cards/001245/files/46514_ruby_25558.zip","2012-04-11","ShiftJIS","JIS X 0208","1","https://www.aozora.gr.jp/cards/001245/files/46514_25610.html","2012-04-11","ShiftJIS","JIS X 0208","1"
"062483","ヌキのいない旅","ヌキのいないたび","ぬきのいないたひ","","","Perjalanan Penganten, Kakek Kuwu","","","新字新仮名","あり",2024-01-31,2024-01-09,"https://www.aozora.gr.jp/cards/002313/card62483.html","002313","アイプ・ロシディ","","アイプ・ロシディ","","あいふろしてい","","Ajip Rosidi","","著者","1938-01-31","2020-07-29","あり","ヌキのいない旅","財団法人　大同生命国際文化基金","1993（平成5）年4月20日","","","","","","","","","","","","","","公益財団法人大同生命国際文化基金","","","","","","","","","","",""
"050328","相対性理論","そうたいせいりろん","そうたいせいりろん","","","","","NDC 421","新字新仮名","なし",2018-04-18,2023-06-21,"https://www.aozora.gr.jp/cards/001428/card50328.html","001428","アインシュタイン","アルベルト","アインシュタイン","アルベルト","あいんしゆたいん","あるへると","Einstein","Albert","著者","1879-03-14","1955-04-18","なし","世界大思想全集　48","春秋社","1930（昭和5）年12月5日","1930（昭和5）年12月5日","1930（昭和5）年12月5日","","","","","","","","","","","","京都大学電子テクスト研究会入力班","高瀬竜一","https://www.aozora.gr.jp/cards/001428/files/50328_txt_64311.zip","2023-06-21","ShiftJIS","JIS X 0208","2","https://www.aozora.gr.jp/cards/001428/files/50328_64360.html","2023-06-21","ShiftJIS","JIS X 0208","2"
"062707","二十一世紀ミャンマー作品集","にじゅういっせいきミャンマーさくひんしゅう","にしゆういつせいきみやんまあさくひんしゆう","","","Hnah Hsal Tit Yarzu Myanmer Sar Baungzu","","","新字新仮名","あり",2024-07-18,2024-07-06,"https://www.aozora.gr.jp/cards/002395/card62707.html","002396","アウンチェイン","","アウンチェイン","","あうんちえいん","","Aung Cheint","","著者","1948-05-01","2021-08-09","あり","二十一世紀ミャンマー作品集","公益財団法人　大同生命国際文化基金","2015（平成27）年11月17日","","","","","","","","","","","","","","公益財団法人大同生命国際文化基金","","","","","","","","","","",""
"056014","木曽道中記","きそどうちゅうき","きそとうちゆうき","","","","「東京朝日新聞」1890（明治23）年5月3日～7月3日","NDC 915","旧字旧仮名","なし",2019-06-20,2019-05-28,"https://www.aozora.gr.jp/cards/000374/card56014.html","000374","饗庭","篁村","あえば","こうそん","あえは","こうそん","Aeba","Koson","著者","1855-09-25","1922-06-20","なし","明治文學全集　94　明治紀行文學集","筑摩書房","1974（昭和49）年1月30日","1974（昭和49）年1月30日第1刷","1974（昭和49）年1月30日第1刷","むら竹　第二十卷","春陽堂","1890（明治23）年12月","","","","","","","","","古山惠一郎","岡村和彦","https://www.aozora.gr.jp/cards/000374/files/56014_ruby_68219.zip","2019-05-28","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000374/files/56014_68264.html","2019-05-28","ShiftJIS","JIS X 0208","0"
"047032","隅田の春","すみだのはる","すみたのはる","","","","「東京朝日新聞」1893（明治26）年3～4月","NDC 914","新字旧仮名","なし",2008-08-02,2014-09-21,"https://www.aozora.gr.jp/cards/000374/card47032.html","000374","饗庭","篁村","あえば","こうそん","あえは","こうそん","Aeba","Koson","著者","1855-09-25","1922-06-20","なし","明治の文学　第13巻　饗庭篁村","筑摩書房","2003（平成15）年4月25日","2003（平成15）年4月25日初版第1刷","2003（平成15）年4月25日初版第1刷","饗庭篁村全集","春陽堂","1928（昭和3）年8月","","","","","","","","","斎藤由布子","noriko saito","https://www.aozora.gr.jp/cards/000374/files/47032_ruby_31251.zip","2008-07-22","ShiftJIS","JIS X 0208","0","https://www.aozora.gr.jp/cards/000374/files/47032_31783.html","2008-07-22","ShiftJIS","JIS X 0208","0"
